,fga,fg3a,fta,per,ts_pct,usg_pct,bpm,season,team,player,win_pct,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
0,18.6,0.2,6.5,25.1,0.572,28.4,7.5,1980-81,PHI,Julius Erving,0.756097561,28,454,690,0.658,82,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231
1,18.3,0.9,4,19.9,0.528,24.3,4.3,1980-81,BOS,Larry Bird,0.756097561,20,423,690,0.613,82,39.5,21.2,10.9,5.5,2,0.8,0.478,0.27,0.863,10.8,0.16
2,18.2,0,6.9,25.5,0.616,26.3,6.1,1980-81,LAL,Kareem Abdul-Jabbar,0.658536585,8,286,690,0.414,80,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0,0.766,14.3,0.23
3,19.3,0,10.1,25.1,0.585,27.6,3.3,1980-81,HOU,Moses Malone,0.487804878,8,180,690,0.261,80,40.6,27.8,14.8,1.8,1,1.9,0.522,0.333,0.757,13.7,0.202
4,21.1,0.4,7.6,22.9,0.555,32.3,2.9,1980-81,SAS,George Gervin,0.634146341,1,83,690,0.12,82,33.7,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,0.182
5,15.2,0.1,5,22,0.583,23.3,5.6,1980-81,MIL,Marques Johnson,0.731707317,1,73,690,0.106,76,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0,0.706,11.2,0.211
6,14.2,0,4.8,25.2,0.579,27.1,5.4,1980-81,BOS,Robert Parish,0.756097561,0,53,690,0.077,82,28,18.9,9.5,1.8,1,2.6,0.545,0,0.71,10.9,0.228
7,15.4,0.6,6.3,17,0.516,24.6,1.8,1980-81,PHO,Dennis Johnson,0.695121951,0,50,690,0.072,79,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,0.154
8,9.6,0.1,5.2,14.3,0.582,17.5,-0.1,1980-81,BOS,Tiny Archibald,0.756097561,0,32,690,0.046,80,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0,0.816,6.9,0.118
9,18.5,0.2,4.1,18,0.556,24.5,0.5,1980-81,LAL,Jamaal Wilkes,0.658536585,0,19,690,0.028,81,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,0.135
10,15.9,0.5,6.1,25.7,0.582,24.3,8.8,1980-81,LAL,Magic Johnson,0.658536585,0,18,690,0.026,37,37.1,21.6,8.6,8.6,3.4,0.7,0.532,0.176,0.76,6.4,0.225
